﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids;PSC Vots;ERC Vots;JxCat Vots;VOX Vots;ECP-PEC Vots;CUP-G Vots;Cs Vots;PP Vots;PDeCAT Vots;RECORTES CERO-GV-M Vots;MPIC Vots;FNC Vots;PNC Vots;PCTC Vots;IZQP Vots;SOM TERRES DE L'EBRE Vots;PUM+J Vots;UEP Vots;EB Vots;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA Vots;ALIANZA C V Vots;SCAT Vots;M.C.R. Vots
8;Barcelona;2;Catalunya Central;14;Berguedà;08024;Borredà;464;363;121;203;232;131;2;4;226;230;25;72;85;5;5;23;3;3;4;1;0;0;0;0;0;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25059;Bossòst;1115;822;202;364;464;358;22;5;437;442;166;47;36;91;16;11;34;23;2;3;0;0;3;1;0;;2;;2;;;0;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43032;Bot;554;454;159;270;324;130;4;1;319;320;54;89;91;18;10;22;5;9;14;0;0;0;0;1;;5;0;;;1;;;0
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43033;Botarell;1077;793;212;408;487;306;5;3;479;482;66;185;97;34;22;41;8;9;8;2;3;1;1;0;;0;2;;;0;;;0
25;Lleida;4;Lleida;18;Garrigues;25056;Bovera;248;207;64;107;120;87;4;7;109;116;12;28;50;3;2;9;2;0;2;0;0;0;0;0;0;;1;;0;;;0;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43034;Bràfim;695;477;147;264;303;174;5;4;294;298;38;108;78;13;6;24;11;4;7;3;0;2;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;34;Selva;17027;Breda;3762;2918;765;1500;1735;1183;35;14;1686;1700;180;541;560;34;41;219;25;28;40;5;1;5;3;3;1;;0;0;;;0;;
8;Barcelona;8;Penedès;6;Anoia;08025;Bruc, el;2110;1615;300;746;884;731;13;13;858;871;135;222;107;53;60;95;28;15;131;3;2;2;0;5;0;;;;;;;;
8;Barcelona;2;Catalunya Central;24;Osona;08026;Brull, el;258;201;72;136;152;49;0;2;150;152;4;33;72;7;2;19;2;2;9;0;0;0;0;0;0;;;;;;;;
17;Girona;3;Girona;34;Selva;17028;Brunyola i Sant Martí Sapresa;389;293;97;163;185;108;5;1;179;180;5;45;83;2;5;22;1;3;7;1;1;0;2;1;0;;1;0;;;0;;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43035;Cabacés;302;238;66;131;164;74;9;4;151;155;18;60;35;3;2;13;3;4;7;0;0;5;0;1;;0;0;;;0;;;0
25;Lleida;4;Lleida;23;Noguera;25060;Cabanabona;71;65;11;29;37;28;1;2;34;36;1;10;11;2;0;5;0;1;3;0;0;0;0;0;0;;0;;1;;;0;
17;Girona;3;Girona;2;Alt Empordà;17031;Cabanelles;267;166;38;67;77;89;0;2;75;77;6;22;26;6;0;13;0;1;1;0;0;0;0;0;0;;0;0;;;0;;
17;Girona;3;Girona;2;Alt Empordà;17030;Cabanes;968;640;187;338;363;277;4;3;356;359;45;67;126;39;8;34;8;8;14;1;1;0;0;1;0;;1;1;;;2;;
8;Barcelona;8;Penedès;3;Alt Penedès;08027;Cabanyes, les;979;745;249;461;497;248;8;2;487;489;65;109;161;26;19;52;11;10;21;5;8;0;0;0;0;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25061;Cabó;93;79;20;35;47;32;1;1;45;46;3;13;18;6;0;2;0;0;1;0;0;0;0;0;0;;0;;2;;;0;
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43036;Cabra del Camp;1175;901;186;335;380;521;5;4;371;375;58;81;97;41;11;35;18;12;13;0;2;1;0;0;;1;1;;;0;;;0
8;Barcelona;8;Penedès;6;Anoia;08028;Cabrera d'Anoia;1482;1153;283;471;522;631;6;6;510;516;122;133;60;62;40;21;34;23;3;5;3;0;3;0;1;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08029;Cabrera de Mar;4747;3673;922;1959;2447;1226;40;25;2382;2407;346;514;694;113;105;170;151;94;174;4;1;7;7;2;0;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08030;Cabrils;7432;5295;1057;2668;3360;1935;23;29;3308;3337;439;771;1077;179;146;192;159;126;180;8;13;5;10;3;0;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17032;Cadaqués;2695;1793;380;777;931;862;14;15;902;917;122;221;342;30;58;67;23;6;26;1;1;2;2;0;0;;0;1;;;0;;
8;Barcelona;2;Catalunya Central;6;Anoia;08031;Calaf;3656;2313;547;1186;1360;953;32;16;1312;1328;225;295;479;42;53;78;43;19;64;2;2;7;0;2;1;;;;;;;;
43;Tarragona;8;Penedès;12;Baix Penedès;43037;Calafell;27601;18877;3911;7188;8377;10500;180;72;8125;8197;2124;1728;1185;1025;538;338;564;360;156;30;6;7;8;13;;6;14;;;20;;;3
8;Barcelona;2;Catalunya Central;42;Moianès;08034;Calders;1045;837;249;513;557;280;7;4;546;550;33;157;203;15;8;77;7;8;34;0;0;2;1;1;0;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08032;Caldes d'Estrac;3021;2169;403;982;1276;893;19;9;1248;1257;230;303;342;64;86;59;51;42;50;8;1;8;0;2;2;;;;;;;;
17;Girona;3;Girona;34;Selva;17033;Caldes de Malavella;7872;5831;1219;2350;2826;3005;31;34;2761;2795;400;667;871;176;164;225;96;60;56;5;7;12;8;3;0;;2;9;;;0;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08033;Caldes de Montbui;17812;13372;2998;6349;7433;5939;96;65;7272;7337;1375;1838;1747;450;414;678;294;184;216;20;14;20;6;13;3;;;;;;;;
8;Barcelona;1;Barcelona;21;Maresme;08035;Calella;19277;13072;2624;5910;6973;6099;99;72;6802;6874;1205;1662;1806;490;367;455;304;202;227;34;11;17;6;13;3;;;;;;;;
8;Barcelona;2;Catalunya Central;24;Osona;08037;Calldetenes;2513;1948;545;1112;1295;653;15;12;1268;1280;61;307;611;31;23;151;19;8;35;1;6;7;7;1;0;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08038;Callús;2129;1535;451;813;927;608;12;13;902;915;101;287;275;40;38;76;14;11;44;3;5;1;2;3;2;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17034;Calonge i Sant Antoni;11331;7395;1769;3186;3797;3598;45;33;3719;3752;632;840;1213;269;156;249;135;79;94;4;7;4;6;7;1;;12;9;;;2;;
8;Barcelona;2;Catalunya Central;6;Anoia;08036;Calonge de Segarra;188;159;60;106;120;39;3;0;117;117;9;31;45;1;1;9;2;0;17;1;1;0;0;0;0;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25062;Camarasa;810;691;233;385;430;261;6;3;421;424;26;158;137;17;11;40;9;8;8;0;2;1;0;1;0;;0;;3;;;0;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43903;Camarles;3194;2327;573;894;1037;1290;48;5;984;989;123;442;228;24;23;46;21;16;19;0;0;1;0;0;;40;0;;;0;;;1
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43038;Cambrils;34734;22514;5088;9674;11263;11251;181;82;11000;11082;2438;2094;1974;1458;603;510;919;606;235;41;26;15;26;11;;14;11;;;16;;;3
17;Girona;3;Girona;28;Pla de l'Estany;17035;Camós;677;547;201;354;403;144;8;2;393;395;24;121;156;11;9;38;6;5;14;0;1;3;2;0;0;;0;3;;;0;;
17;Girona;3;Girona;31;Ripollès;17036;Campdevànol;3232;2634;620;1210;1487;1147;41;13;1433;1446;192;390;477;49;65;147;19;14;53;5;6;3;6;2;0;;3;2;;;0;;
17;Girona;3;Girona;31;Ripollès;17037;Campelles;140;114;39;55;74;40;1;1;72;73;1;14;35;1;2;6;3;0;8;0;0;2;0;0;0;;0;0;;;0;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08039;Campins;541;413;142;256;290;123;5;5;280;285;32;66;96;6;24;41;3;2;6;2;1;0;1;0;0;;;;;;;;
17;Girona;3;Girona;20;Gironès;17038;Campllong;537;380;127;245;281;99;12;1;268;269;10;58;119;12;6;33;3;5;12;1;0;1;5;0;0;;2;1;;;0;;
17;Girona;3;Girona;31;Ripollès;17039;Camprodon;2298;1780;458;897;1113;667;74;13;1026;1039;145;197;442;35;37;71;13;18;50;1;5;2;1;2;0;;2;5;;;0;;
25;Lleida;5;Alt Pirineu i territori d'Aran;39;Consell General d'Aran;25063;Canejan;89;76;21;22;32;44;0;0;32;32;9;9;5;6;1;1;0;1;0;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;20;Gironès;17040;Canet d'Adri;729;567;200;333;371;196;3;3;365;368;26;65;156;4;15;60;9;4;17;1;0;2;4;0;0;;0;2;;;0;;
8;Barcelona;1;Barcelona;21;Maresme;08040;Canet de Mar;14865;11167;2831;5129;5901;5266;75;40;5786;5826;975;1471;1541;389;338;476;209;163;128;34;31;12;4;14;1;;;;;;;;
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43907;Canonja, la;5956;4425;980;1747;2082;2343;45;16;2021;2037;762;293;173;300;122;72;142;98;19;11;2;4;0;9;;0;6;;;7;;;1
8;Barcelona;1;Barcelona;41;Vallès Oriental;08041;Canovelles;16829;10725;2397;4331;4837;5888;70;34;4733;4767;1752;698;518;633;313;121;385;189;64;29;10;6;4;7;4;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08042;Cànoves i Samalús;3156;2465;566;1157;1293;1172;10;11;1272;1283;272;314;233;113;89;84;61;57;28;9;4;6;2;0;0;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17041;Cantallops;309;213;61;115;130;83;9;1;120;121;14;54;24;1;4;11;4;5;2;0;0;0;0;0;0;;1;0;;;0;;
8;Barcelona;8;Penedès;17;Garraf;08043;Canyelles;4699;3553;818;1474;1706;1847;20;21;1665;1686;404;363;266;165;108;76;139;43;75;15;4;3;0;2;2;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43039;Capafonts;111;103;44;60;70;33;0;0;70;70;5;19;20;0;0;20;2;1;1;0;2;0;0;0;;0;0;;;0;;;0
43;Tarragona;6;Camp de Tarragona;29;Priorat;43040;Capçanes;392;326;138;222;250;76;2;4;244;248;12;81;65;4;12;59;2;3;5;0;0;0;0;0;;1;0;;;0;;;0
8;Barcelona;8;Penedès;6;Anoia;08044;Capellades;5342;4117;919;1824;2116;2001;35;19;2062;2081;400;516;410;99;100;287;91;53;81;12;4;1;0;4;4;;;;;;;;
17;Girona;3;Girona;2;Alt Empordà;17042;Capmany;611;422;133;238;265;157;1;5;259;264;24;62;99;13;15;17;10;4;12;1;0;1;0;0;0;;0;0;;;1;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08045;Capolat;84;63;22;30;41;22;0;0;41;41;0;7;22;0;1;9;0;0;1;0;0;0;0;1;0;;;;;;;;
8;Barcelona;1;Barcelona;41;Vallès Oriental;08046;Cardedeu;18424;13749;2901;6826;8052;5697;124;59;7869;7928;1317;1915;2001;356;593;911;310;155;209;29;34;16;8;11;4;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08047;Cardona;4639;3668;890;1582;1912;1756;40;18;1854;1872;399;553;397;86;57;148;62;61;73;6;2;5;1;4;0;;;;;;;;
8;Barcelona;8;Penedès;6;Anoia;08048;Carme;785;574;188;339;376;198;5;5;366;371;36;116;130;7;9;31;9;4;23;1;0;0;0;0;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43041;Caseres;237;204;42;87;110;94;4;1;105;106;13;48;16;11;1;5;2;8;1;0;0;0;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;20;Gironès;17044;Cassà de la Selva;10410;7041;1568;3560;4145;2896;80;22;4043;4065;459;1005;1648;130;109;390;71;54;113;11;10;13;6;3;1;;8;6;;;6;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08049;Casserres;1588;1308;386;684;773;535;11;6;756;762;43;206;297;14;15;110;5;13;36;8;0;6;2;1;0;;;;;;;;
25;Lleida;2;Catalunya Central;35;Solsonès;25064;Castellar de la Ribera;131;94;34;62;74;20;1;1;72;73;4;17;29;0;0;10;0;2;10;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;2;Catalunya Central;14;Berguedà;08050;Castellar del Riu;176;130;55;86;98;32;2;0;96;96;2;20;49;1;0;10;2;0;11;0;0;1;0;0;0;;;;;;;;
8;Barcelona;1;Barcelona;40;Vallès Occidental;08051;Castellar del Vallès;24488;18928;4636;9156;10446;8482;172;67;10207;10274;2239;2550;2261;700;679;666;500;258;219;65;18;18;13;18;3;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08052;Castellar de n'Hug;156;142;44;80;101;41;4;1;96;97;7;21;47;2;2;1;0;0;14;0;2;0;0;0;0;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08053;Castellbell i el Vilar;3719;2949;595;1199;1364;1585;22;16;1326;1342;271;363;296;130;64;76;36;24;43;4;4;3;7;4;1;;;;;;;;
8;Barcelona;1;Barcelona;40;Vallès Occidental;08054;Castellbisbal;12539;9346;1928;4279;5010;4336;82;37;4891;4928;1195;1096;779;478;386;327;347;138;66;34;11;9;8;10;7;;;;;;;;
8;Barcelona;2;Catalunya Central;42;Moianès;08055;Castellcir;742;542;162;296;340;202;5;8;327;335;20;112;85;17;17;53;6;0;7;1;3;2;1;3;0;;;;;;;;
25;Lleida;4;Lleida;18;Garrigues;25067;Castelldans;930;683;176;361;398;285;9;9;380;389;31;97;111;15;17;38;12;16;41;1;0;1;0;0;0;;0;;0;;;0;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08056;Castelldefels;67460;42966;8778;18914;22403;20563;274;228;21901;22129;6393;3861;2275;2472;1665;707;2099;1661;471;161;52;9;21;29;25;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08057;Castell de l'Areny;67;62;17;40;45;17;1;1;43;44;1;9;18;0;4;6;0;1;4;0;0;0;0;0;0;;;;;;;;
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25904;Castell de Mur;173;150;39;80;106;44;0;1;105;106;19;21;44;0;3;10;2;0;6;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;8;Penedès;3;Alt Penedès;08058;Castellet i la Gornal;2382;1860;458;809;924;936;16;15;893;908;205;239;160;75;66;63;41;13;26;2;2;0;0;1;0;;;;;;;;
17;Girona;3;Girona;19;Garrotxa;17046;Castellfollit de la Roca;947;713;240;379;423;290;7;8;408;416;25;153;142;9;11;48;1;6;11;0;0;0;1;1;0;;0;0;;;0;;
8;Barcelona;2;Catalunya Central;7;Bages;08059;Castellfollit del Boix;447;353;115;202;222;131;5;5;212;217;12;54;79;1;5;43;4;3;10;1;0;0;0;0;0;;;;;;;;
8;Barcelona;2;Catalunya Central;6;Anoia;08060;Castellfollit de Riubregós;162;138;52;94;106;32;4;0;102;102;10;14;47;2;3;11;1;4;8;0;1;0;0;1;0;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08061;Castellgalí;2119;1671;386;726;824;847;10;10;804;814;190;186;156;77;55;41;31;28;28;2;1;1;4;2;2;;;;;;;;
8;Barcelona;2;Catalunya Central;7;Bages;08062;Castellnou de Bages;1437;1044;278;575;674;370;10;6;658;664;88;178;190;39;26;61;34;14;23;2;1;1;0;0;1;;;;;;;;
25;Lleida;4;Lleida;27;Pla d'Urgell;25068;Castellnou de Seana;665;524;157;251;297;227;5;3;289;292;18;79;110;9;3;14;5;7;41;0;1;1;1;0;0;;0;;0;;;0;
17;Girona;3;Girona;2;Alt Empordà;17047;Castelló d'Empúries;11100;5051;961;2093;2433;2618;52;12;2369;2381;347;473;617;287;87;195;149;90;73;12;6;10;10;1;1;;3;8;;;0;;
25;Lleida;4;Lleida;23;Noguera;25069;Castelló de Farfanya;539;414;134;220;228;186;1;2;225;227;11;97;81;6;4;13;2;2;6;0;0;1;1;0;0;;0;;0;;;1;
8;Barcelona;8;Penedès;6;Anoia;08063;Castellolí;626;490;141;317;364;126;6;2;356;358;27;122;116;5;10;29;8;3;31;4;0;1;0;0;0;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17048;Castell-Platja d'Aro;11030;6600;1632;2821;3380;3220;47;40;3293;3333;744;586;929;312;116;109;195;116;120;12;9;9;10;5;4;;5;10;;;2;;
25;Lleida;4;Lleida;38;Urgell;25070;Castellserà;996;784;216;449;488;296;11;12;465;477;31;147;162;6;6;64;11;6;32;0;0;0;0;0;0;;0;;0;;;0;
8;Barcelona;2;Catalunya Central;42;Moianès;08064;Castellterçol;2548;1997;496;1024;1200;797;26;10;1164;1174;135;334;396;33;50;112;19;14;56;3;5;3;2;1;1;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43042;Castellvell del Camp;2828;2228;605;1223;1411;817;18;15;1378;1393;162;374;382;113;67;107;60;49;46;1;7;2;3;1;;3;1;;;0;;;0
8;Barcelona;8;Penedès;3;Alt Penedès;08065;Castellví de la Marca;1575;1222;336;657;776;446;16;9;751;760;79;230;237;19;29;75;19;20;35;5;0;1;1;1;0;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08066;Castellví de Rosanes;1933;1496;417;785;930;566;13;12;905;917;213;221;137;96;69;49;47;25;37;8;0;0;0;1;2;;;;;;;;
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43043;Catllar, el;4557;3466;946;1730;1976;1490;26;9;1941;1950;394;449;347;196;118;157;127;89;32;11;4;3;0;6;;1;5;;;1;;;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25071;Cava;45;41;23;29;32;9;1;0;31;31;1;7;13;2;0;7;0;1;0;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;34;Selva;17189;Cellera de Ter, la;1950;1499;538;983;1084;415;15;7;1062;1069;64;199;591;13;24;127;9;5;18;0;3;5;0;1;0;;1;1;;;1;;
17;Girona;3;Girona;20;Gironès;17049;Celrà;5561;3283;764;1746;2059;1224;34;15;2010;2025;248;362;577;60;73;559;53;15;33;4;5;8;1;4;0;;4;3;;;1;;
8;Barcelona;2;Catalunya Central;24;Osona;08067;Centelles;7513;5846;1463;2814;3418;2428;61;32;3325;3357;420;800;1227;94;125;368;73;51;122;9;15;11;5;4;1;;;;;;;;
8;Barcelona;2;Catalunya Central;14;Berguedà;08268;Cercs;1150;979;291;497;583;396;12;3;568;571;76;193;174;17;13;53;12;6;18;4;0;2;0;0;0;;;;;;;;
8;Barcelona;1;Barcelona;40;Vallès Occidental;08266;Cerdanyola del Vallès;57855;43468;9997;20207;23985;19483;296;227;23462;23689;7089;4404;2934;1871;2228;1445;1771;993;388;128;45;29;49;60;28;;;;;;;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08068;Cervelló;9077;6922;1614;3261;3826;3096;50;29;3747;3776;854;1003;615;378;236;206;239;124;60;17;3;5;0;2;5;;;;;;;;
25;Lleida;4;Lleida;32;Segarra;25072;Cervera;9350;5960;1357;2711;3172;2788;58;56;3058;3114;426;823;911;188;110;263;73;87;126;10;7;3;1;4;2;;1;;17;;;6;
25;Lleida;4;Lleida;18;Garrigues;25073;Cervià de les Garrigues;662;556;176;307;340;216;9;3;328;331;26;147;103;5;10;24;8;1;4;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;20;Gironès;17050;Cervià de Ter;966;677;258;454;503;174;5;5;493;498;26;110;219;5;19;77;2;6;19;1;2;0;1;0;0;;0;5;;;1;;
17;Girona;3;Girona;2;Alt Empordà;17051;Cistella;282;207;69;136;149;58;1;3;145;148;14;28;51;6;1;23;1;2;12;0;0;6;0;0;0;;0;1;;;0;;
25;Lleida;4;Lleida;38;Urgell;25074;Ciutadilla;208;174;78;115;125;49;2;2;121;123;11;52;40;3;3;4;4;3;0;0;0;1;0;0;0;;0;;0;;;0;
25;Lleida;2;Catalunya Central;35;Solsonès;25075;Clariana de Cardener;161;130;52;78;88;42;3;3;82;85;7;29;16;0;1;16;0;0;10;0;0;0;2;1;0;;0;;0;;;0;
25;Lleida;4;Lleida;18;Garrigues;25076;Cogul, el;151;132;44;78;90;42;0;0;90;90;10;32;31;4;2;7;1;0;3;0;0;0;0;0;0;;0;;0;;;0;
17;Girona;3;Girona;2;Alt Empordà;17054;Colera;445;344;128;188;220;124;4;1;215;216;31;48;74;17;8;23;7;2;5;0;0;0;0;0;0;;0;0;;;0;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08069;Collbató;4544;3489;783;1741;2002;1487;22;37;1943;1980;310;553;450;156;117;121;97;53;71;6;5;0;1;2;1;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43045;Colldejou;168;142;62;90;101;41;1;2;98;100;4;32;53;1;3;5;0;0;0;0;0;0;0;0;;0;0;;;0;;;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25077;Coll de Nargó;540;433;125;218;274;159;12;3;259;262;31;73;75;5;5;42;5;2;12;3;0;3;1;1;0;;0;;0;;;1;
8;Barcelona;2;Catalunya Central;42;Moianès;08070;Collsuspina;359;289;122;206;220;69;4;4;212;216;15;56;99;2;12;19;1;1;6;0;0;0;0;1;0;;;;;;;;
17;Girona;3;Girona;10;Baix Empordà;17055;Colomers;174;150;64;115;121;29;2;0;119;119;11;35;47;1;8;13;0;0;3;0;0;0;1;0;0;;0;0;;;0;;
25;Lleida;2;Catalunya Central;35;Solsonès;25163;Coma i la Pedra, la;255;241;49;110;138;103;1;2;135;137;2;28;60;8;4;15;0;4;12;0;1;0;0;0;0;;1;;0;;;0;
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25161;Conca de Dalt;410;338;88;161;213;125;4;2;207;209;26;58;64;1;5;38;1;8;3;0;1;1;0;0;0;;0;;1;;;0;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43046;Conesa;100;89;35;53;61;28;1;2;58;60;5;24;14;1;3;5;1;0;4;0;0;1;0;0;;0;0;;;0;;;0
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43047;Constantí;6665;4254;1009;1683;1785;2469;37;19;1729;1748;529;354;230;242;66;56;106;100;26;6;1;2;0;0;;0;3;;;7;;;1
8;Barcelona;8;Penedès;6;Anoia;08071;Copons;321;252;70;155;179;73;2;3;174;177;21;39;60;3;8;22;2;3;12;2;1;0;0;1;0;;;;;;;;
43;Tarragona;7;Terres de l'Ebre;37;Terra Alta;43048;Corbera d'Ebre;1003;753;250;397;454;299;14;13;427;440;53;140;67;14;40;38;8;34;29;2;0;0;0;0;;1;1;;;0;;;0
8;Barcelona;1;Barcelona;11;Baix Llobregat;08072;Corbera de Llobregat;14882;10870;2309;4779;5619;5251;92;51;5476;5527;1015;1472;1126;450;333;362;372;134;134;27;12;11;11;11;6;;;;;;;;
25;Lleida;4;Lleida;33;Segrià;25078;Corbins;1462;996;235;526;646;350;6;12;628;640;49;240;201;19;18;47;15;9;16;1;2;2;1;0;0;;4;;2;;;2;
17;Girona;3;Girona;10;Baix Empordà;17057;Corçà;1268;979;381;624;692;287;26;2;664;666;79;185;241;11;12;88;12;3;17;2;1;4;3;2;0;;2;1;;;1;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08073;Cornellà de Llobregat;89936;62769;13651;27268;31386;31383;366;218;30802;31020;12435;4687;1775;2866;3409;1182;2481;1357;223;221;36;12;22;56;40;;;;;;;;
17;Girona;3;Girona;28;Pla de l'Estany;17056;Cornellà del Terri;2399;1782;539;1048;1150;632;23;4;1123;1127;74;237;529;25;28;132;12;23;41;2;5;5;1;2;0;;4;2;;;1;;
43;Tarragona;6;Camp de Tarragona;29;Priorat;43049;Cornudella de Montsant;944;737;251;441;504;233;8;2;494;496;39;174;143;9;20;61;8;5;12;0;11;7;0;0;;5;0;;;0;;;0
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43050;Creixell;3758;2779;615;1043;1243;1536;16;10;1217;1227;302;278;198;166;76;41;65;51;25;7;1;1;3;2;;0;1;;;0;;;0
17;Girona;3;Girona;28;Pla de l'Estany;17058;Crespià;254;185;75;113;124;61;1;1;122;123;5;20;54;0;12;21;3;3;3;0;0;0;1;0;0;;0;0;;;0;;
17;Girona;3;Girona;10;Baix Empordà;17901;Cruïlles, Monells i Sant Sadurní;1270;1024;351;606;664;360;12;13;639;652;67;170;212;16;26;93;15;4;26;2;3;2;2;0;0;;1;0;;;0;;
8;Barcelona;8;Penedès;17;Garraf;08074;Cubelles;15770;11414;2779;4832;5499;5915;66;42;5391;5433;1481;1219;691;636;382;236;419;185;81;30;8;8;5;6;4;;;;;;;;
25;Lleida;4;Lleida;23;Noguera;25079;Cubells;338;275;92;156;185;90;8;2;175;177;5;65;73;5;0;4;2;5;15;0;0;0;0;1;0;;0;;0;;;0;
43;Tarragona;8;Penedès;12;Baix Penedès;43051;Cunit;13533;9595;2073;3631;4253;5342;125;31;4097;4128;1297;770;368;559;309;115;368;191;62;19;3;1;2;11;;3;11;;;7;;;1
17;Girona;3;Girona;2;Alt Empordà;17060;Darnius;537;405;115;213;245;160;0;1;244;245;23;59;77;26;11;21;8;10;5;0;2;0;0;0;0;;2;0;;;0;;
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17061;Das;234;171;49;88;121;50;5;2;114;116;8;33;48;4;1;5;5;2;7;0;1;0;0;0;0;;0;0;;;0;;
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43901;Deltebre;11578;8813;1849;3208;3681;5132;413;23;3245;3268;398;1363;562;188;106;205;40;72;230;2;7;8;2;2;;55;3;;;2;;;0
8;Barcelona;1;Barcelona;21;Maresme;08075;Dosrius;5652;4230;949;1810;2145;2085;29;26;2090;2116;399;558;464;206;111;133;104;64;33;6;4;3;2;1;2;;;;;;;;
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43053;Duesaigües;244;179;53;112;125;54;1;0;124;124;15;39;33;1;7;13;2;2;8;0;2;2;0;0;;0;0;;;0;;;0
17;Girona;3;Girona;2;Alt Empordà;17062;Escala, l';10244;6063;1561;2624;3123;2940;47;26;3050;3076;445;665;987;227;142;286;86;77;97;3;2;3;10;3;0;;6;10;;;1;;
8;Barcelona;1;Barcelona;11;Baix Llobregat;08076;Esparreguera;22302;16696;3584;7270;8227;8469;106;65;8056;8121;2136;2063;1146;607;567;527;508;249;168;32;11;13;7;12;10;;;;;;;;
17;Girona;2;Catalunya Central;24;Osona;17063;Espinelves;221;182;78;132;153;29;2;0;151;151;5;51;60;0;1;26;1;2;4;0;0;0;0;0;0;;0;1;;;0;;
25;Lleida;4;Lleida;18;Garrigues;25081;Espluga Calba, l';329;270;69;148;173;97;6;6;161;167;19;57;46;2;2;22;1;5;7;0;0;0;0;0;0;;0;;0;;;0;
43;Tarragona;6;Camp de Tarragona;16;Conca de Barberà;43054;Espluga de Francolí, l';3736;2799;573;1202;1522;1277;23;9;1490;1499;136;514;478;28;27;188;20;13;54;1;0;12;10;2;;1;6;;;0;;;0
8;Barcelona;1;Barcelona;11;Baix Llobregat;08077;Esplugues de Llobregat;47150;34396;8248;16141;19159;15237;197;137;18825;18962;6528;2989;1911;1758;1557;677;1603;1203;361;107;18;13;39;34;27;;;;;;;;
