﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Districte;Sigles Candidatura;Nom Candidatura;Vots
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;1;EB;Escons en Blanc;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;25;Pallars Jussà;25001;Abella de la Conca;1;PUM+J;Per Un Món Més Just;0
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);1647
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;ERC;Esquerra Republicana de Catalunya;982
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;VOX;Vox;561
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;Cs;Ciutadans-Partido de la Ciudadanía;413
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;ECP-PEC;En Comú Podem-Podem en Comú;412
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;JxCat;Junts per Catalunya;381
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;PP;Partit Popular;181
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;167
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;PDeCAT;Partit Demòcrata Europeu Català;45
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;27
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;PCTC;Partit Comunista dels Treballadors de Catalunya;18
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;IZQP;Izquierda en Positivo;13
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;MPIC;Moviment Primàries per la Independència de Catalunya;7
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;PNC;Partit Nacionalista de Catalunya;2
8;Barcelona;1;Barcelona;11;Baix Llobregat;08001;Abrera;1;FNC;Front Nacional de Catalunya;2
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;JxCat;Junts per Catalunya;102
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;ERC;Esquerra Republicana de Catalunya;83
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;34
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);31
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;PDeCAT;Partit Demòcrata Europeu Català;13
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;VOX;Vox;9
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;Cs;Ciutadans-Partido de la Ciudadanía;7
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;ECP-PEC;En Comú Podem-Podem en Comú;5
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;PP;Partit Popular;4
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;PCTC;Partit Comunista dels Treballadors de Catalunya;2
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;PNC;Partit Nacionalista de Catalunya;1
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;PUM+J;Per Un Món Més Just;0
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;4;Lleida;23;Noguera;25002;Àger;1;EB;Escons en Blanc;0
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;JxCat;Junts per Catalunya;755
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;ERC;Esquerra Republicana de Catalunya;602
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);203
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;97
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;VOX;Vox;92
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;PDeCAT;Partit Demòcrata Europeu Català;51
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;PP;Partit Popular;47
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;Cs;Ciutadans-Partido de la Ciudadanía;44
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;ECP-PEC;En Comú Podem-Podem en Comú;43
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;EB;Escons en Blanc;32
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;PUM+J;Per Un Món Més Just;3
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;PCTC;Partit Comunista dels Treballadors de Catalunya;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;PNC;Partit Nacionalista de Catalunya;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;FNC;Front Nacional de Catalunya;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;2
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;MPIC;Moviment Primàries per la Independència de Catalunya;1
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;38;Urgell;25003;Agramunt;1;SCAT;Suport Civil Català;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;JxCat;Junts per Catalunya;66
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;38
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;ERC;Esquerra Republicana de Catalunya;28
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;PDeCAT;Partit Demòcrata Europeu Català;18
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);6
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;VOX;Vox;5
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;ECP-PEC;En Comú Podem-Podem en Comú;2
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;PP;Partit Popular;2
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;Cs;Ciutadans-Partido de la Ciudadanía;2
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;FNC;Front Nacional de Catalunya;1
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;MPIC;Moviment Primàries per la Independència de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;IZQP;Izquierda en Positivo;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;PNC;Partit Nacionalista de Catalunya;0
8;Barcelona;2;Catalunya Central;7;Bages;08002;Aguilar de Segarra;1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;ERC;Esquerra Republicana de Catalunya;107
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;JxCat;Junts per Catalunya;104
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;56
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);32
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;PDeCAT;Partit Demòcrata Europeu Català;18
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;VOX;Vox;17
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;ECP-PEC;En Comú Podem-Podem en Comú;16
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;Cs;Ciutadans-Partido de la Ciudadanía;14
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;FNC;Front Nacional de Catalunya;5
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;PP;Partit Popular;2
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;UEP;Unión Europea de Pensionistas;2
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;PUM+J;Per Un Món Més Just;1
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;IZQP;Izquierda en Positivo;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;PNC;Partit Nacionalista de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;MPIC;Moviment Primàries per la Independència de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17001;Agullana;1;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;JxCat;Junts per Catalunya;393
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;ERC;Esquerra Republicana de Catalunya;347
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);141
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;115
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;ECP-PEC;En Comú Podem-Podem en Comú;51
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;VOX;Vox;47
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;PDeCAT;Partit Demòcrata Europeu Català;42
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;Cs;Ciutadans-Partido de la Ciudadanía;27
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;PP;Partit Popular;23
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;MPIC;Moviment Primàries per la Independència de Catalunya;4
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;4
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;FNC;Front Nacional de Catalunya;3
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;IZQP;Izquierda en Positivo;1
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;PNC;Partit Nacionalista de Catalunya;1
8;Barcelona;1;Barcelona;41;Vallès Oriental;08014;Aiguafreda;1;PCTC;Partit Comunista dels Treballadors de Catalunya;1
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;ERC;Esquerra Republicana de Catalunya;106
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;JxCat;Junts per Catalunya;99
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);64
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;51
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;ECP-PEC;En Comú Podem-Podem en Comú;25
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;VOX;Vox;16
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;Cs;Ciutadans-Partido de la Ciudadanía;12
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;PDeCAT;Partit Demòcrata Europeu Català;10
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;PP;Partit Popular;5
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;FNC;Front Nacional de Catalunya;3
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;PCTC;Partit Comunista dels Treballadors de Catalunya;1
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;SOM TERRES DE L'EBRE;Som Terres de l'Ebre;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;MPIC;Moviment Primàries per la Independència de Catalunya;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;PUM+J;Per Un Món Més Just;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;M.C.R.;Moviment Corrent Roig;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;PNC;Partit Nacionalista de Catalunya;0
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43001;Aiguamúrcia;1;UNIDOS SI-DEf-PDSJE-SOMOS ESPAÑA;Unidos por la Democracia + Jubilados;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;JxCat;Junts per Catalunya;200
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;ERC;Esquerra Republicana de Catalunya;93
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;49
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);32
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;VOX;Vox;20
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;Cs;Ciutadans-Partido de la Ciudadanía;14
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;ECP-PEC;En Comú Podem-Podem en Comú;12
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;PDeCAT;Partit Demòcrata Europeu Català;8
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;PP;Partit Popular;6
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;PNC;Partit Nacionalista de Catalunya;2
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;MPIC;Moviment Primàries per la Independència de Catalunya;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;FNC;Front Nacional de Catalunya;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;UEP;Unión Europea de Pensionistas;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;1
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;PUM+J;Per Un Món Més Just;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;IZQP;Izquierda en Positivo;0
17;Girona;3;Girona;20;Gironès;17002;Aiguaviva;1;ALIANZA C V;Alianza por el Comercio y la Vivienda;0
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;PDeCAT;Partit Demòcrata Europeu Català;289
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;ERC;Esquerra Republicana de Catalunya;193
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;JxCat;Junts per Catalunya;138
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);78
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;PP;Partit Popular;75
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;VOX;Vox;31
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;26
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;ECP-PEC;En Comú Podem-Podem en Comú;18
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;Cs;Ciutadans-Partido de la Ciudadanía;13
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;EB;Escons en Blanc;2
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;MPIC;Moviment Primàries per la Independència de Catalunya;2
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;SCAT;Suport Civil Català;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;FNC;Front Nacional de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;PNC;Partit Nacionalista de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;PUM+J;Per Un Món Més Just;1
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;33;Segrià;25038;Aitona;1;IZQP;Izquierda en Positivo;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;JxCat;Junts per Catalunya;112
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;ERC;Esquerra Republicana de Catalunya;108
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);34
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;25
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;VOX;Vox;24
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;PDeCAT;Partit Demòcrata Europeu Català;20
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;ECP-PEC;En Comú Podem-Podem en Comú;13
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;Cs;Ciutadans-Partido de la Ciudadanía;5
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;IZQP;Izquierda en Positivo;2
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;PP;Partit Popular;2
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;FNC;Front Nacional de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;PCTC;Partit Comunista dels Treballadors de Catalunya;1
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;EB;Escons en Blanc;1
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;PUM+J;Per Un Món Més Just;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;4;Lleida;33;Segrià;25004;Alamús, els;1;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;JxCat;Junts per Catalunya;52
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;ERC;Esquerra Republicana de Catalunya;37
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);31
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;18
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;PDeCAT;Partit Demòcrata Europeu Català;5
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;Cs;Ciutadans-Partido de la Ciudadanía;5
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;PP;Partit Popular;4
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;ECP-PEC;En Comú Podem-Podem en Comú;4
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;EB;Escons en Blanc;2
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;VOX;Vox;2
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;PUM+J;Per Un Món Més Just;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;MPIC;Moviment Primàries per la Independència de Catalunya;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;FNC;Front Nacional de Catalunya;1
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;PNC;Partit Nacionalista de Catalunya;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;IZQP;Izquierda en Positivo;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;SCAT;Suport Civil Català;0
25;Lleida;5;Alt Pirineu i territori d'Aran;4;Alt Urgell;25005;Alàs i Cerc;1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;ERC;Esquerra Republicana de Catalunya;62
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;JxCat;Junts per Catalunya;43
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;PSC;Partit dels Socialistes de Catalunya (PSC-PSOE);30
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;VOX;Vox;16
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;CUP-G;Canditatura d'Unitat Popular-Un Nou Cicle per Guanyar;11
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;Cs;Ciutadans-Partido de la Ciudadanía;7
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;ECP-PEC;En Comú Podem-Podem en Comú;6
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;PP;Partit Popular;6
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;PDeCAT;Partit Demòcrata Europeu Català;5
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;RECORTES CERO-GV-M;Recortes Cero-Grup Verd-Municipalistes;2
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;IZQP;Izquierda en Positivo;1
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;FNC;Front Nacional de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;SCAT;Suport Civil Català;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;PUM+J;Per Un Món Més Just;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;MPIC;Moviment Primàries per la Independència de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;PCTC;Partit Comunista dels Treballadors de Catalunya;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;EB;Escons en Blanc;0
25;Lleida;4;Lleida;18;Garrigues;25006;Albagés, l';1;PNC;Partit Nacionalista de Catalunya;0
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;1;JxCat;Junts per Catalunya;36
17;Girona;3;Girona;2;Alt Empordà;17003;Albanyà;1;ERC;Esquerra Republicana de Catalunya;17
